Product Name;Part;Part Description;Part Type;Labor Tier;Currency;Stock Price;Exchange Price;EEE Code;Substitute Part;Component Group;Serialized Module;Requires Diagnostic
iPhone 5c;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 5s;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 6;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 6 Plus;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 6s;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 6s Plus;S4884Z/A;IPHONE TIER 2 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;23,97;0;; ; ;N;N
iPhone 5;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 5c;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 5s;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 6;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 6 Plus;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 6s;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 6s Plus;S4886Z/A;IPHONE TIER 3 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;48,76;0;; ; ;N;N
iPhone 5;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 5c;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 5s;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 6 Plus;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 6s;S4968Z/A;IPHONE TIER 4 MODULE RPLCMNT CHG EMEA-IN; ; ;EUR;89,26;0;; ; ;N;N
iPhone 5;S5180Z/A;REPAIR CHARGE,FLAT RATE,IPHONE 5,SWB-INT; ; ;EUR;230,58;0;; ; ;N;N
iPhone 5;S5185Z/A;REPAIR CHARGE,TIER 2,IPHONE 5,SWB QP VAT; ; ;EUR;230,58;0;; ; ;N;N
Beatbox Portable (2nd generation);S5275Z/A;ROR FLAT RATE,BEATS,BEATBOX PORTABLE; ; ;EUR;141,75;0;; ; ;N;N
Beatbox Portable (3rd generation);S5275Z/A;ROR FLAT RATE,BEATS,BEATBOX PORTABLE; ; ;EUR;141,75;0;; ; ;N;N
Executive;S5270Z/A;ROR FLAT RATE,BEATS,EXECUTIVE; ; ;EUR;156,75;0;; ; ;N;N
Mixr;S5267Z/A;ROR FLAT RATE,BEATS,MIXR; ; ;EUR;101,25;0;; ; ;N;N
Beats Pill 2.0;S5276Z/A;ROR FLAT RATE,BEATS,PILL; ; ;EUR;78,75;0;; ; ;N;N
PILL 2.0, MCM;S5276Z/A;ROR FLAT RATE,BEATS,PILL; ; ;EUR;78,75;0;; ; ;N;N
Pill 1.0;S5276Z/A;ROR FLAT RATE,BEATS,PILL; ; ;EUR;78,75;0;; ; ;N;N
Pill 2.0;S5276Z/A;ROR FLAT RATE,BEATS,PILL; ; ;EUR;78,75;0;; ; ;N;N
Pill XL;S5277Z/A;ROR FLAT RATE,BEATS,PILL XL; ; ;EUR;141,75;0;; ; ;N;N
PRO,FENDI,BLACK;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,BLUE CYAN;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,RED FIRE;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,TRUE BLUE;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,WHITE;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,YELLOW SUNFLOWER;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
Pro;S5272Z/A;ROR FLAT RATE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
Solo (1st generation);S5268Z/A;ROR FLAT RATE,BEATS,SOLO; ; ;EUR;78,75;0;; ; ;N;N
Solo 2;S5268Z/A;ROR FLAT RATE,BEATS,SOLO; ; ;EUR;78,75;0;; ; ;N;N
Solo HD;S5268Z/A;ROR FLAT RATE,BEATS,SOLO; ; ;EUR;78,75;0;; ; ;N;N
Studio (1st generation);S5271Z/A;ROR FLAT RATE,BEATS,STUDIO 1/2; ; ;EUR;119,25;0;; ; ;N;N
Studio (2nd Generation);S5271Z/A;ROR FLAT RATE,BEATS,STUDIO 1/2; ; ;EUR;119,25;0;; ; ;N;N
Studio (2nd generation);S5271Z/A;ROR FLAT RATE,BEATS,STUDIO 1/2; ; ;EUR;119,25;0;; ; ;N;N
Studio Wireless;S5273Z/A;ROR FLAT RATE,BEATS,STUDIO 2 WIRELESS; ; ;EUR;156,75;0;; ; ;N;N
Beats Tour (2nd generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Heartbeats (2nd generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Powerbeats (1st generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Powerbeats2;S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Tour (1st generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Tour (2nd generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Tour 2.5;S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
URBEATS (2ND GENERATION), GLOSS WHITE;S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
URBEATS (2ND GENERATION), MATTE BLACK;S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
urBeats (1st generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
urBeats (2nd Generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
urBeats (2nd generation);S5208Z/A;ROR FLAT RATE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Powerbeats2 Wireless;S5266Z/A;ROR FLAT RATE,BEATS,WIRELESS EARPHONE; ; ;EUR;78,75;0;; ; ;N;N
Solo2 Wireless;S5269Z/A;ROR FLAT RATE,BEATS,WL 1.5 & SOLO 2 WL; ; ;EUR;101,25;0;; ; ;N;N
Wireless (1.5);S5269Z/A;ROR FLAT RATE,BEATS,WL 1.5 & SOLO 2 WL; ; ;EUR;101,25;0;; ; ;N;N
Beatbox Portable (2nd generation);S5304Z/A;ROR NON-REPAIRABLE,BEATS,BEATBOX PORT 2; ; ;EUR;333,3;0;; ; ;N;N
Beatbox Portable (3rd generation);S5305Z/A;ROR NON-REPAIRABLE,BEATS,BEATBOX PORT 3; ; ;EUR;333,3;0;; ; ;N;N
Executive;S5299Z/A;ROR NON-REPAIRABLE,BEATS,EXECUTIVE; ; ;EUR;249,96;0;; ; ;N;N
Heartbeats (2nd generation);S5289Z/A;ROR NON-REPAIRABLE,BEATS,HEARTBEATS 2; ; ;EUR;83,29;0;; ; ;N;N
Mixr;S5295Z/A;ROR NON-REPAIRABLE,BEATS,MIXR; ; ;EUR;208,29;0;; ; ;N;N
Pill 1.0;S5214Z/A;ROR NON-REPAIRABLE,BEATS,PILL 1; ; ;EUR;149,96;0;; ; ;N;N
Beats Pill 2.0;S5306Z/A;ROR NON-REPAIRABLE,BEATS,PILL 2; ; ;EUR;166,63;0;; ; ;N;N
PILL 2.0, MCM;S5306Z/A;ROR NON-REPAIRABLE,BEATS,PILL 2; ; ;EUR;166,63;0;; ; ;N;N
Pill 2.0;S5306Z/A;ROR NON-REPAIRABLE,BEATS,PILL 2; ; ;EUR;166,63;0;; ; ;N;N
Pill XL;S5307Z/A;ROR NON-REPAIRABLE,BEATS,PILL XL 1; ; ;EUR;249,96;0;; ; ;N;N
Powerbeats (1st generation);S5290Z/A;ROR NON-REPAIRABLE,BEATS,POWERBEATS 1; ; ;EUR;124,96;0;; ; ;N;N
Powerbeats2;S5291Z/A;ROR NON-REPAIRABLE,BEATS,POWERBEATS 2; ; ;EUR;124,96;0;; ; ;N;N
Powerbeats2 Wireless;S5292Z/A;ROR NON-REPAIRABLE,BEATS,POWERBEATS 2 WL; ; ;EUR;166,63;0;; ; ;N;N
PRO,FENDI,BLACK;S5301Z/A;ROR NON-REPAIRABLE,BEATS,PRO 1; ; ;EUR;333,3;0;; ; ;N;N
PRO,FENDI,BLUE CYAN;S5301Z/A;ROR NON-REPAIRABLE,BEATS,PRO 1; ; ;EUR;333,3;0;; ; ;N;N
PRO,FENDI,RED FIRE;S5301Z/A;ROR NON-REPAIRABLE,BEATS,PRO 1; ; ;EUR;333,3;0;; ; ;N;N
PRO,FENDI,TRUE BLUE;S5301Z/A;ROR NON-REPAIRABLE,BEATS,PRO 1; ; ;EUR;333,3;0;; ; ;N;N
PRO,FENDI,WHITE;S5301Z/A;ROR NON-REPAIRABLE,BEATS,PRO 1; ; ;EUR;333,3;0;; ; ;N;N
PRO,FENDI,YELLOW SUNFLOWER;S5301Z/A;ROR NON-REPAIRABLE,BEATS,PRO 1; ; ;EUR;333,3;0;; ; ;N;N
Pro;S5301Z/A;ROR NON-REPAIRABLE,BEATS,PRO 1; ; ;EUR;333,3;0;; ; ;N;N
Solo 2;S5297Z/A;ROR NON-REPAIRABLE,BEATS,SOLO 2; ; ;EUR;166,63;0;; ; ;N;N
Solo (1st generation);S5296Z/A;ROR NON-REPAIRABLE,BEATS,SOLO HD; ; ;EUR;141,62;0;; ; ;N;N
Solo HD;S5296Z/A;ROR NON-REPAIRABLE,BEATS,SOLO HD; ; ;EUR;141,62;0;; ; ;N;N
Studio (1st generation);S5300Z/A;ROR NON-REPAIRABLE,BEATS,STUDIO 1; ; ;EUR;208,29;0;; ; ;N;N
Studio (2nd Generation);S5213Z/A;ROR NON-REPAIRABLE,BEATS,STUDIO 2; ; ;EUR;249,96;0;; ; ;N;N
Studio (2nd generation);S5213Z/A;ROR NON-REPAIRABLE,BEATS,STUDIO 2; ; ;EUR;249,96;0;; ; ;N;N
Studio Wireless;S5302Z/A;ROR NON-REPAIRABLE,BEATS,STUDIO 2 WL; ; ;EUR;316,63;0;; ; ;N;N
Tour (1st generation);S5293Z/A;ROR NON-REPAIRABLE,BEATS,TOUR 1; ; ;EUR;124,96;0;; ; ;N;N
Beats Tour (2nd generation);S5212Z/A;ROR NON-REPAIRABLE,BEATS,TOUR 2; ; ;EUR;124,96;0;; ; ;N;N
Tour (2nd generation);S5212Z/A;ROR NON-REPAIRABLE,BEATS,TOUR 2; ; ;EUR;124,96;0;; ; ;N;N
Tour 2.5;S5212Z/A;ROR NON-REPAIRABLE,BEATS,TOUR 2; ; ;EUR;124,96;0;; ; ;N;N
URBEATS (2ND GENERATION), GLOSS WHITE;S5294Z/A;ROR NON-REPAIRABLE,BEATS,URBEATS 2; ; ;EUR;83,29;0;; ; ;N;N
URBEATS (2ND GENERATION), MATTE BLACK;S5294Z/A;ROR NON-REPAIRABLE,BEATS,URBEATS 2; ; ;EUR;83,29;0;; ; ;N;N
urBeats (1st generation);S5294Z/A;ROR NON-REPAIRABLE,BEATS,URBEATS 2; ; ;EUR;83,29;0;; ; ;N;N
urBeats (2nd Generation);S5294Z/A;ROR NON-REPAIRABLE,BEATS,URBEATS 2; ; ;EUR;83,29;0;; ; ;N;N
urBeats (2nd generation);S5294Z/A;ROR NON-REPAIRABLE,BEATS,URBEATS 2; ; ;EUR;83,29;0;; ; ;N;N
Solo2 Wireless;S5298Z/A;ROR NON-REPAIRABLE,WL 1.5 & SOLO 2 WL; ; ;EUR;233,3;0;; ; ;N;N
Wireless (1.5);S5298Z/A;ROR NON-REPAIRABLE,WL 1.5 & SOLO 2 WL; ; ;EUR;233,3;0;; ; ;N;N
Beatbox Portable (2nd generation);S5286Z/A;ROR REPAIRABLE,BEATS,BEATBOX PORTABLE; ; ;EUR;141,75;0;; ; ;N;N
Beatbox Portable (3rd generation);S5286Z/A;ROR REPAIRABLE,BEATS,BEATBOX PORTABLE; ; ;EUR;141,75;0;; ; ;N;N
Executive;S5282Z/A;ROR REPAIRABLE,BEATS,EXECUTIVE; ; ;EUR;156,75;0;; ; ;N;N
Mixr;S5279Z/A;ROR REPAIRABLE,BEATS,MIXR; ; ;EUR;101,25;0;; ; ;N;N
Beats Pill 2.0;S5211Z/A;ROR REPAIRABLE,BEATS,PILL SPEAKER; ; ;EUR;78,75;0;; ; ;N;N
PILL 2.0, MCM;S5211Z/A;ROR REPAIRABLE,BEATS,PILL SPEAKER; ; ;EUR;78,75;0;; ; ;N;N
Pill 1.0;S5211Z/A;ROR REPAIRABLE,BEATS,PILL SPEAKER; ; ;EUR;78,75;0;; ; ;N;N
Pill 2.0;S5211Z/A;ROR REPAIRABLE,BEATS,PILL SPEAKER; ; ;EUR;78,75;0;; ; ;N;N
Pill XL;S5287Z/A;ROR REPAIRABLE,BEATS,PILL XL; ; ;EUR;141,75;0;; ; ;N;N
PRO,FENDI,BLACK;S5283Z/A;ROR REPAIRABLE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,BLUE CYAN;S5283Z/A;ROR REPAIRABLE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,RED FIRE;S5283Z/A;ROR REPAIRABLE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,TRUE BLUE;S5283Z/A;ROR REPAIRABLE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,WHITE;S5283Z/A;ROR REPAIRABLE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
PRO,FENDI,YELLOW SUNFLOWER;S5283Z/A;ROR REPAIRABLE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
Pro;S5283Z/A;ROR REPAIRABLE,BEATS,PRO; ; ;EUR;156,75;0;; ; ;N;N
Solo (1st generation);S5280Z/A;ROR REPAIRABLE,BEATS,SOLO; ; ;EUR;78,75;0;; ; ;N;N
Solo 2;S5280Z/A;ROR REPAIRABLE,BEATS,SOLO; ; ;EUR;78,75;0;; ; ;N;N
Solo HD;S5280Z/A;ROR REPAIRABLE,BEATS,SOLO; ; ;EUR;78,75;0;; ; ;N;N
Studio Wireless;S5284Z/A;ROR REPAIRABLE,BEATS,STUDIO 2 WIRELESS; ; ;EUR;156,75;0;; ; ;N;N
Studio (1st generation);S5210Z/A;ROR REPAIRABLE,BEATS,STUDIO HEADPHONE; ; ;EUR;119,25;0;; ; ;N;N
Studio (2nd Generation);S5210Z/A;ROR REPAIRABLE,BEATS,STUDIO HEADPHONE; ; ;EUR;119,25;0;; ; ;N;N
Studio (2nd generation);S5210Z/A;ROR REPAIRABLE,BEATS,STUDIO HEADPHONE; ; ;EUR;119,25;0;; ; ;N;N
Beats Tour (2nd generation);S5209Z/A;ROR REPAIRABLE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Heartbeats (2nd generation);S5209Z/A;ROR REPAIRABLE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Powerbeats (1st generation);S5209Z/A;ROR REPAIRABLE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Powerbeats2;S5209Z/A;ROR REPAIRABLE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Tour (1st generation);S5209Z/A;ROR REPAIRABLE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Tour (2nd generation);S5209Z/A;ROR REPAIRABLE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
Tour 2.5;S5209Z/A;ROR REPAIRABLE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
URBEATS (2ND GENERATION), GLOSS WHITE;S5209Z/A;ROR REPAIRABLE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
URBEATS (2ND GENERATION), MATTE BLACK;S5209Z/A;ROR REPAIRABLE,BEATS,WIRED EARPHONE; ; ;EUR;48,75;0;; ; ;N;N
