Code;Libellé;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;Stock;Emplacement stock;Valeur unitaire;Total;Fabricant;Ref. fabricant;Fournisseur;Réf fournisseur;Dépréciation;Code barre;Unité;Poids net;Poids brut;Prix;Prix ttc;Code tva;Taux tva;Catégorie;Sous catégorie;Garantie;Nombre de colis
B010USB/RJ45;adaptateur USB 3/RJ45;CAB-;CAB-B010USB/RJ45;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;J4;9,15;18,3;;;;;;X000MKT827;;;;13;15,6;1;20;;;;
CLS-SLIM-BK;Ensemble clavier multimédia compact extra-plat sans fil (AZERTY Français) pour ordinateur de salon (HTPC) + souris optique sans fil;ADV-;ADV-CLS-SLIM-BK;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;ADVANCE;;;1;;18,26;18,26;;;;;;;;;;29,12;34,944;1;20;;;;
JD-0710FR-2;CHERRY DW 3000 Ensemble clavier et souris sans fil RF, 2.4 GHz français (AZERTY) noir;CHE-;CHE-JD-0710FR-2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;CHERRY;;;1;;17,2;17,2;;;;;;;;;;23,99;28,788;1;20;;;;
H6Y89AA#ABB;HP Smart AC - Adaptateur secteur 65 Watt;HEW-;HEW-H6Y89AA#ABB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;;;1;;16,99;16,99;;;;;;;;;;21;25,2;1;20;;;;
910-005718;Logitech Pebble M350 Graphite Souris sans fil - ambidextre - capteur optique 1000 dpi - 3 boutons;LOG-;LOG-910-005718;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;LOGITECH;;;1;;16,67;16,67;;;;;;;;;;21,63;25,956;1;20;;;;
S0610435;CÂBLE RJ45 CATÉGORIE 5E F/UTP 1 M (BEIGE);CAB-;CAB-S0610435;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;30;;0,52;15,6;;;;;;3700224718077;;;;3,32;3,984;1;20;;;;
C5SG0500;Cordon RJ45 Cat 5e F/UTP Primacy 5m beige;CAB-;CAB-C5SG0500;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;5;I4;3,01;15,05;;;;;;C5SG0500;;;;6,02;7,224;1;20;;;;
910-004642;Logitech M170 Souris sans fil 2.4 GHz récepteur sans fil USB;LOG-;LOG-910-004642;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;LOGITECH;;;2;B3;7,46;14,92;;;;;;;;;;11,63;13,956;1;20;;;;
B00OXCFIXU;5 Aukru® 5V 2A EU Plug Chargeur Adaptateur Pour Routeur D-Link DIR-600, DGS-105, DIR-635 ,DIR-615,DIR-100 DIR-300 ,DIR-624 DIR-645 DIR-652 ,DIR-655 DIR;AUK-;AUK-B00OXCFIXU;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;AUKRU;;;2;I1;7,4;14,8;;;;;;X000EAZ51N;;;;10,57;12,684;1;20;;;;
2090086;RallongeUSB2.0A-AM/FNoir-5m;CAB-;CAB-2090086;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;10;;1,35;13,5;;;;;;;;;;5;6;1;20;;;;
DSPTOVGAHDMI;Mini Displayport (Thunderbolt Compatible) vers HDMI/DVI/VGA;CAB-;CAB-DSPTOVGAHDMI;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;12,49;12,49;;;;;;;;;;19;22,8;1;20;;;;
B00SWVF3L0;Duronic TVB777 Support de montage mural universel inclinable pour télévision de 33 à 60 pouces / 81 à 153 cm - VESA 600x400;DUR-;DUR-B00SWVF3L0;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;DURONIC;;;1;A4;12,49;12,49;;;;;;5060184205832;;;;15;18;1;20;;;;
4907MR;Sachet de 10 manchons à boule RJ45 rouge;GEN-;GEN-4907MR;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;9;I4;1,34;12,06;;;;;;4907MR;;;;1,81;2,172;1;20;;;;
