Code;Libellé;STOCK À TRANSFÉRER SUR GLE;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;N° DE SÉRIE;Prix vente HT;Prix achat HT;Emplacement stock;Nom fournisseur;Code barre;
MTBC25B ;Toner, original, cyan, Konica-Minolta Box, 4.500 prints;3;KON-;KON-MTBC25B ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;0;; 	39,12  € ; 	39,12  € ;AMAZON;THS;A0X5453;
NP01WK;SUPPORT MOBILE POUR TABLEAU INTERACTIF;3;NEC-;NEC-NP01WK;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEC;EDUCATION;0;; 	89,00  € ; 	-      ;A0;;5028695608559;
96615;Prise 2P+T Legrand Niloé - 16 A - bornes auto - Eclat Legrand;3;GEN-;GEN-96615;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;K3;;3245060966157;
701607-A21;Microsoft Windows Server 2012 - Licence - 5 licences d'accès client périphérique;3;MIC-;MIC-701607-A21;NUFARTSTKSTD;LOGICIELS;LOGICIELS;MICROSOFT;SYSTEME;0;; 	110,00  € ; 	-      ;K2;;4948382958037;
MBA1019;MicroBattery 18.5V 3.5A 65W Plug: 4.8*1.7;3;GEN-;GEN-MBA1019;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	27,48  € ; 	49,00  € ;B2;EET EUROPARTS;5705965686713;
LEX24B6009;LEXMARK To magen HC XC2132;3;LEX-;LEX-LEX24B6009;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;0;; 	90,00  € ; 	90,00  € ;BUREAU COMPTA;OCTANT;734646498753;
LEX24B6008;LEXMARK To cyan HC XC2132;3;LEX-;LEX-LEX24B6008;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;LEXMARK;ENCRES TONERS;0;; 	90,00  € ; 	76,60  € ;BUREAU COMPTA;OCTANT;734646498746;
SCREENJ52016;LCD+Touch Screen for Samsung J5 2016;3;;;;;;;;;; 	37,00  € ; 	37,00  € ;E1;ALIEXPRESS;;
A06V152;Konica Minolta Cartouche de toner - Pack de 1 Noir;3;KON-;KON-A06V152;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;0;; 	-      ; 	-      ;AMAZON;;39281044229;
LEG036446;JEU PATTES FIXAT.COFF.LARG.300;3;GEN-;GEN-LEG036446;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	190,00  € ; 	-      ;C4;REXEL;10324506036446500000000;
JARFOMM;Jarretière FO multimode;3;CAB-;CAB-JARFOMM;NUFARTSTKSTD;MATERIEL;RESEAU;GENERIQUE;ACCESSOIRES;0;; 	25,00  € ; 	-      ;K2;;JARFOMM;
512327-B21/2;HP Common Slot High Efficiency - Alimentation - branchement à chaud;3;HEW-;HEW-512327-B21/2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;0;0;; 	215,00  € ; 	-      ;L1;TECH DATA FRANCE;884420588146;
H3C53AA#ABF;HP C2500 Desktop H3C53AA - Hp keyboard combo - AZERTY - Francais;3;HEW-;HEW-H3C53AA#ABF;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;0;0;; 	16,66  € ; 	17,10  € ;;TECH DATA FRANCE;;
SD-IPAD3-BLK-GRY;Hard Candy Shock Drop Coque pour iPad 3 Noir;3;HAR-;HAR-SD-IPAD3-BLK-GRY;NUFARTSTKSTD;TEXTILE;TEXTILE;HARD CANDY;POCHETTES;0;; 	11,67  € ; 	11,67  € ;AMAZON;;;
C5SG0100;Cordon RJ45 Cat 5e F/UTP Primacy 1m beige ;3;EDO-;EDO-C5SG0100;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;EDOX;0;0;; 	1,82  € ; 	4,00  € ;I4;EDOX;C5SG0100;
C5SG1000;Cordon RJ45 Cat 5e F/UTP Primacy 10m beige ;3;CAB-;CAB-C5SG1000;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	11,02  € ; 	11,02  € ;I4;EDOX;C5SG1000;
847200;CORDON CAT 5E 4P MOULE STP 2M;3;CAB-;CAB-847200;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;I3;;3524890084720;
TN213M;CARTOUCHE TN213 MAGENTA INEO+203/253;3;BRO-;BRO-TN213M;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;BROTHER;ENCRES TONERS;0;; 	80,00  € ; 	-      ;AMAZON;;1PA0D73D2;
85493;C2G LC-ST 50/125 OM2 Duplex Multimode PVC Fiber Optic Cable (LSZH) - Câble de ré;3;C2G-;C2G-85493;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;C2G;0;0;; 	12,65  € ; 	-      ;K4;;757120854937;
810228;Angle Plat 15x30 Mm (4 Pièces);3;GEN-;GEN-810228;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;K3;;4018475250727;
810183;Angle Intérieur 15x30 Mm (4 Pièces);3;GEN-;GEN-810183;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;K3;;4018475289062;
90Y8926;146GB 15K 6GBPS SAS 2.5 inch-SFF G2HS Hard Disk Drive;3;IBM-;IBM-90Y8926;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;IBM;DD INTERNE;0;KD5Y8H5,KD9D6A4,KD5Y8L5; 	183,33  € ; 	-      ;L1;;90Y8926;
2100307;Volets 120x100 Triptyque BASIC+ VPI tactile;2;VAN-;VAN-2100307;NUFARTSTKSERIE;MATERIEL;ECRANS;VANERUM;EDUCATION;0;; 	175,00  € ; 	175,00  € ;STOCK AVEC TABLEAU À DROITE;EET EUROPARTS;;
MTBC25G ;Toner, original, yellow, Konica-Minolta Box, 4.500 prints;2;KON-;KON-MTBC25G ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;0;; 	39,12  € ; 	39,12  € ;AMAZON;THS;A0X5253;
MTBC25R ;Toner, original, magenta, Konica-Minolta Box, 4.500 prints ;2;KON-;KON-MTBC25R ;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ENCRES TONERS;0;; 	39,12  € ; 	39,12  € ;AMAZON;THS;A0X5353;
RKM114;Synology RKM114 - Kit de rails pour armoire;2;SYN-;SYN-RKM114;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;SYNOLOGY;0;0;; 	28,00  € ; 	-      ;L2;;4711174721740;
LC001;Sweex LAN PC Card 10/100 Mbps - Adaptateur réseau - PCI - 10/100 Ethernet;2;SWE-;SWE-LC001;NUFARTSTKSTD;MATERIEL;RESEAU;SWEEX;ACCESSOIRES;0;; 	6,95  € ; 	4,17  € ;AMAZON;;;
97-512-009;Support VESA arrière;2;GEN-;GEN-97-512-009;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	29,17  € ; 	-      ;B2;;97-512-009;
CKS600;Support étanche pour Camera;2;CAB-;CAB-CKS600;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	90,00  € ; 	-      ;E3;;CKS600;
PTA3002;Support de table pour Ipad à fixer;2;VOG-;VOG-PTA3002;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VOGELS;0;0;; 	96,00  € ; 	-      ;B1;;8712285321764;
SOUOEM;Souris OEM;2;GEN-;GEN-SOUOEM;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	9,00  € ; 	5,00  € ;B3;;FCGLH0D5D2OUAZ;
ST500LM034;"SEAGATE BARRACUDA PRO 500 GO - Disque dur 2.5"" 500 Go 7200 RPM 128 Mo Serial ATA 6 Gb/s (bulk)";2;SEA-;SEA-ST500LM034;NUFARTSTKSERIE;MATERIEL;COMPOSANTS;SEAGATE;DD INTERNE;0;; 	55,00  € ; 	49,50  € ;C3;OLYS - BIMP;AR201802190106;
MC902-2M;Rallonge 2 mètres pour câble d'alimentation CEI - mâle (c14)/femelle (c13);2;;;;;;;;;; 	-      ; 	-      ;;;3700224714116;
2050579;Plastron 45x45 VGA HD15 F>M - 10m;2;GEN-;GEN-2050579;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	32,00  € ; 	50,00  € ;L5;NEKLAN;3662247121695;
UBNTPARA;PARAFOUDRE;2;GEN-;GEN-UBNTPARA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	40,00  € ; 	-      ;D1;;810354021633;
B00J0X4BF8;Newniu Câble et adaptateur VGA 5 m;2;CAB-;CAB-B00J0X4BF8;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	7,00  € ; 	8,00  € ;J4;AMAZON;B00J0X4BF8;
