Marque->Nature->Externe->Data Domain;INUT1;INUT2
Marque->Nature->Externe->Double Take;INUT1;INUT2
Marque->Nature->Externe->MacAfee;INUT1;INUT2
Marque->Nature->Externe->MailinBlack;INUT1;INUT2
Marque->Nature->Externe->Mailcleaner;INUT1;INUT2
Marque->Nature->Externe->Mdaemon;INUT1;INUT2
Marque->Nature->Externe->NetApp;INUT1;INUT2
Marque->Nature->Externe->Networth Télécom;INUT1;INUT2
Marque->Nature->Externe->Olféo;INUT1;INUT2
Marque->Nature->Externe->SQLyog;INUT1;INUT2
Marque->Nature->Externe->Starwind;INUT1;INUT2
Marque->Nature->Externe->Telmat;INUT1;INUT2
Marque->Nature->Externe->JAM SOFTWARE;INUT1;INUT2
Marque->Nature->Externe->FINAPRO;INUT1;INUT2
Recurrence->Périodique->Nature->Contrat->Support BtoB;INUT1;INUT2
Recurrence->Périodique->Nature->Contrat->Support BtoC;INUT1;INUT2
Recurrence->Périodique->Nature->Contrat->Maintenance Materiel;INUT1;INUT2
Recurrence->Périodique->Nature->Contrat->Maintenance Logiciel;INUT1;INUT2
Recurrence->Périodique->Nature->Contrat->Maintenance Mixée;INUT1;INUT2
Recurrence->Périodique->Nature->Abonnement->Télécom;INUT1;INUT2
Recurrence->Périodique->Nature->Abonnement->Logiciel;INUT1;INUT2
Gamme->Consommable;INUT1;INUT2
Gamme->Autre->Nature->Générique;INUT1;INUT2
Obsolescence->Nature->Indisponible;INUT1;INUT2
Gamme->Autre->Nature->Opé Marketing;INUT1;INUT2
Marque->Nature->Externe->Apple;INUT1;INUT2
Gamme->Logiciel;INUT1;INUT2
Gamme->Autre->Nature->Remise;INUT1;INUT2
Gamme->Autre->Nature->Remise CRT;INUT1;INUT2
Gamme->Autre->Nature->IMMOBILISATION;INUT1;INUT2
Obsolescence->Nature->Indisponible;INUT1;INUT2
Gamme->Matériel;INUT1;INUT2
Marque->Nature->Externe;INUT1;INUT2
Gamme->Service;INUT1;INUT2
Marque->Nature->Interne->Bimp;INUT1;INUT2
Gamme->Service;INUT1;INUT2
Gamme->Autre->Nature->Livre;INUT1;INUT2
Obsolescence->Nature->Indisponible;INUT1;INUT2
Gamme->Textile;INUT1;INUT2
Gamme->Transport;INUT1;INUT2
